"subjID"	"trial"	"pumped"	"explosion"
1	1	67	1
1	2	4	1
1	3	83	0
1	4	93	0
1	5	66	0
1	6	91	0
1	7	61	1
1	8	97	0
1	9	116	0
1	10	5	1
1	11	91	0
1	12	109	0
1	13	24	1
1	14	38	1
1	15	8	1
1	16	61	1
1	17	55	0
1	18	75	1
1	19	80	1
1	20	21	1
1	21	57	1
1	22	83	0
1	23	89	0
1	24	106	0
1	25	76	0
1	26	128	0
1	27	4	1
1	28	44	1
1	29	128	0
1	30	39	1
2	1	32	1
2	2	64	1
2	3	19	1
2	4	20	1
2	5	15	1
2	6	14	1
2	7	30	1
2	8	15	1
2	9	107	0
2	10	110	0
2	11	72	0
2	12	119	0
2	13	80	0
2	14	94	0
2	15	2	1
2	16	123	0
2	17	125	0
2	18	40	1
2	19	50	1
2	20	97	0
2	21	81	0
2	22	108	0
2	23	125	0
2	24	37	1
2	25	53	1
2	26	65	0
2	27	69	0
2	28	66	1
2	29	106	0
2	30	102	0
3	1	44	1
3	2	69	0
3	3	77	0
3	4	77	0
3	5	27	1
3	6	74	0
3	7	121	0
3	8	85	0
3	9	92	0
3	10	30	1
3	11	61	1
3	12	74	0
3	13	95	0
3	14	100	0
3	15	3	1
3	16	62	0
3	17	16	1
3	18	8	1
3	19	29	1
3	20	76	0
3	21	111	0
3	22	104	0
3	23	85	0
3	24	114	0
3	25	18	1
3	26	97	0
3	27	55	0
3	28	67	0
3	29	102	0
3	30	4	1
4	1	80	1
4	2	27	1
4	3	14	1
4	4	50	0
4	5	49	1
4	6	123	0
4	7	84	0
4	8	31	1
4	9	64	0
4	10	102	0
4	11	55	1
4	12	2	1
4	13	15	1
4	14	92	0
4	15	76	0
4	16	86	0
4	17	109	0
4	18	32	1
4	19	89	0
4	20	95	0
4	21	102	0
4	22	88	0
4	23	46	1
4	24	50	1
4	25	81	1
4	26	22	1
4	27	92	0
4	28	103	0
4	29	22	1
4	30	27	1
5	1	94	0
5	2	29	1
5	3	9	1
5	4	55	0
5	5	107	0
5	6	51	1
5	7	5	1
5	8	3	1
5	9	104	0
5	10	57	1
5	11	76	0
5	12	37	1
5	13	124	0
5	14	5	1
5	15	92	0
5	16	60	1
5	17	41	1
5	18	100	0
5	19	1	1
5	20	23	1
5	21	97	1
5	22	31	1
5	23	109	0
5	24	20	1
5	25	74	1
5	26	24	1
5	27	96	0
5	28	95	0
5	29	1	1
5	30	85	0
6	1	63	1
6	2	47	1
6	3	14	1
6	4	61	0
6	5	40	1
6	6	96	0
6	7	70	0
6	8	96	0
6	9	27	0
6	10	39	1
6	11	126	0
6	12	61	1
6	13	66	0
6	14	92	0
6	15	73	0
6	16	124	0
6	17	100	1
6	18	19	1
6	19	25	1
6	20	18	1
6	21	30	1
6	22	96	0
6	23	107	0
6	24	18	1
6	25	108	0
6	26	36	0
6	27	11	1
6	28	96	0
6	29	15	1
6	30	110	0
7	1	50	1
7	2	73	1
7	3	73	0
7	4	46	1
7	5	102	0
7	6	18	1
7	7	6	1
7	8	108	0
7	9	74	1
7	10	17	1
7	11	40	1
7	12	63	0
7	13	84	1
7	14	70	0
7	15	36	1
7	16	34	1
7	17	83	1
7	18	116	0
7	19	94	0
7	20	118	0
7	21	31	1
7	22	104	0
7	23	61	1
7	24	121	0
7	25	46	1
7	26	126	0
7	27	61	1
7	28	102	0
7	29	101	0
7	30	59	1
8	1	97	0
8	2	7	1
8	3	102	0
8	4	56	0
8	5	86	0
8	6	107	0
8	7	17	1
8	8	3	1
8	9	6	1
8	10	17	1
8	11	31	1
8	12	121	0
8	13	21	0
8	14	8	1
8	15	35	1
8	16	22	1
8	17	48	0
8	18	110	0
8	19	22	1
8	20	10	1
8	21	92	0
8	22	32	1
8	23	4	1
8	24	51	0
8	25	102	0
8	26	54	0
8	27	34	1
8	28	36	1
8	29	98	0
8	30	33	1
9	1	119	0
9	2	31	1
9	3	7	1
9	4	114	0
9	5	44	1
9	6	68	0
9	7	39	1
9	8	46	0
9	9	122	0
9	10	53	1
9	11	41	1
9	12	55	0
9	13	100	0
9	14	90	0
9	15	17	1
9	16	46	0
9	17	100	0
9	18	65	0
9	19	97	0
9	20	58	0
9	21	66	1
9	22	90	0
9	23	71	1
9	24	46	1
9	25	8	1
9	26	76	1
9	27	76	0
9	28	74	0
9	29	39	1
9	30	12	1
10	1	22	1
10	2	54	0
10	3	67	0
10	4	117	0
10	5	82	0
10	6	19	1
10	7	45	1
10	8	126	0
10	9	17	1
10	10	71	1
10	11	37	1
10	12	6	1
10	13	121	0
10	14	63	0
10	15	90	0
10	16	40	1
10	17	60	1
10	18	119	0
10	19	40	1
10	20	104	0
10	21	68	0
10	22	118	0
10	23	40	1
10	24	101	0
10	25	6	1
10	26	52	1
10	27	64	1
10	28	103	0
10	29	62	1
10	30	12	1
