"subjID"	"trial"	"pumped"	"explosion"
1	1	6	1
1	2	25	1
1	3	72	1
1	4	93	0
1	5	52	1
1	6	24	1
1	7	66	1
1	8	30	0
1	9	18	1
1	10	127	0
1	11	20	1
1	12	71	1
1	13	102	0
1	14	89	0
1	15	119	0
1	16	63	1
1	17	57	0
1	18	81	1
1	19	41	1
1	20	106	0
1	21	59	1
1	22	85	0
1	23	91	0
1	24	36	1
1	25	81	0
1	26	1	1
1	27	125	0
1	28	47	1
1	29	1	1
1	30	26	1
2	1	91	1
2	2	36	1
2	3	62	1
2	4	61	0
2	5	49	1
2	6	46	1
2	7	86	0
2	8	48	0
2	9	22	1
2	10	38	1
2	11	29	1
2	12	17	1
2	13	29	1
2	14	25	1
2	15	126	0
2	16	8	1
2	17	8	1
2	18	82	0
2	19	59	1
2	20	42	1
2	21	50	1
2	22	5	1
2	23	4	1
2	24	85	0
2	25	69	1
2	26	59	1
2	27	29	1
2	28	15	1
2	29	10	1
2	30	21	1
3	1	12	1
3	2	68	0
3	3	80	0
3	4	80	0
3	5	30	1
3	6	77	0
3	7	64	1
3	8	88	0
3	9	95	0
3	10	3	1
3	11	10	1
3	12	77	0
3	13	97	0
3	14	102	0
3	15	125	0
3	16	37	1
3	17	14	1
3	18	119	0
3	19	3	1
3	20	78	0
3	21	35	1
3	22	106	0
3	23	88	0
3	24	68	1
3	25	14	1
3	26	99	0
3	27	58	0
3	28	36	1
3	29	104	0
3	30	123	0
4	1	6	1
4	2	80	1
4	3	73	0
4	4	118	0
4	5	51	1
4	6	16	1
4	7	86	0
4	8	15	1
4	9	45	1
4	10	74	1
4	11	56	1
4	12	127	0
4	13	113	0
4	14	94	0
4	15	78	0
4	16	87	0
4	17	9	1
4	18	27	1
4	19	90	0
4	20	96	0
4	21	103	0
4	22	90	0
4	23	47	1
4	24	52	1
4	25	83	1
4	26	105	0
4	27	94	0
4	28	104	0
4	29	15	1
4	30	7	1
5	1	39	1
5	2	32	1
5	3	10	1
5	4	57	0
5	5	39	1
5	6	73	0
5	7	122	0
5	8	125	0
5	9	72	1
5	10	63	0
5	11	81	0
5	12	44	1
5	13	4	1
5	14	121	0
5	15	96	0
5	16	40	1
5	17	47	1
5	18	74	0
5	19	122	0
5	20	7	1
5	21	101	1
5	22	7	1
5	23	71	0
5	24	104	0
5	25	79	1
5	26	31	1
5	27	76	0
5	28	99	0
5	29	119	0
5	30	89	0
6	1	42	1
6	2	85	0
6	3	60	0
6	4	21	1
6	5	48	0
6	6	101	0
6	7	77	0
6	8	101	0
6	9	20	0
6	10	47	1
6	11	2	1
6	12	37	1
6	13	74	0
6	14	98	0
6	15	80	0
6	16	8	1
6	17	105	1
6	18	15	1
6	19	7	1
6	20	105	0
6	21	12	1
6	22	101	0
6	23	71	0
6	24	7	1
6	25	70	0
6	26	44	0
6	27	113	0
6	28	102	0
6	29	109	0
6	30	69	1
7	1	76	1
7	2	54	1
7	3	48	1
7	4	47	1
7	5	102	0
7	6	109	0
7	7	124	0
7	8	9	1
7	9	22	1
7	10	110	0
7	11	7	1
7	12	6	1
7	13	87	1
7	14	48	0
7	15	31	1
7	16	93	0
7	17	85	1
7	18	67	1
7	19	78	0
7	20	66	0
7	21	95	0
7	22	73	0
7	23	48	1
7	24	32	1
7	25	51	1
7	26	2	1
7	27	26	1
7	28	74	1
7	29	75	0
7	30	62	1
8	1	19	1
8	2	11	1
8	3	107	0
8	4	39	1
8	5	5	1
8	6	35	1
8	7	103	0
8	8	124	0
8	9	118	0
8	10	26	1
8	11	21	1
8	12	16	1
8	13	31	0
8	14	115	0
8	15	47	1
8	16	7	1
8	17	60	0
8	18	68	1
8	19	29	1
8	20	112	0
8	21	101	0
8	22	44	0
8	23	123	0
8	24	43	0
8	25	18	1
8	26	41	0
8	27	46	1
8	28	48	1
8	29	73	1
8	30	46	1
9	1	33	0
9	2	36	1
9	3	121	0
9	4	68	0
9	5	46	1
9	6	39	1
9	7	13	1
9	8	3	1
9	9	16	1
9	10	54	1
9	11	87	0
9	12	57	0
9	13	38	1
9	14	91	0
9	15	111	0
9	16	47	0
9	17	102	0
9	18	20	1
9	19	99	0
9	20	60	0
9	21	39	1
9	22	91	0
9	23	74	1
9	24	48	1
9	25	120	0
9	26	77	1
9	27	76	0
9	28	76	0
9	29	3	1
9	30	116	0
10	1	105	0
10	2	40	1
10	3	5	1
10	4	67	0
10	5	83	0
10	6	13	1
10	7	47	1
10	8	2	1
10	9	110	0
10	10	72	1
10	11	26	1
10	12	121	0
10	13	64	0
10	14	21	1
10	15	92	0
10	16	42	1
10	17	62	1
10	18	33	0
10	19	12	1
10	20	37	1
10	21	21	1
10	22	33	1
10	23	13	1
10	24	19	1
10	25	122	0
10	26	54	1
10	27	24	1
10	28	74	0
10	29	24	1
10	30	116	0
